indice_metronomo,tiempo_metronomo,amplitud_tambor,indice_tambor,tiempo_tambor,diferencia,repetido,sin_asignacion,frecuencia,audio
73,58.8625,0.30011252,71,59.102125,0.23962500000000375,0,0,4,1
74,59.388875,0.2692551,72,59.58225,0.19337500000000318,0,0,4,1
75,59.915125,0.24182124,73,60.046125,0.13100000000000023,0,0,4,1
76,60.4415,0.16034289,74,60.525375,0.08387499999999903,0,0,4,1
77,60.96775,0.21051447,75,60.992625,0.02487499999999443,0,0,4,1
78,61.496625,0.3010848,76,61.453375,-0.043250000000000455,0,0,4,1
79,62.010875,0.25784624,77,61.929125,-0.08174999999999955,0,0,4,1
80,62.548,0.3100776,78,62.39325,-0.15474999999999994,0,0,4,1
81,63.073125,0.28244516,79,62.842875,0.23024999999999807,1,0,4,1
81,63.073125,0.26732564,80,63.284,0.21087500000000148,0,0,4,1
82,63.599375,0.23587734,81,63.7055,0.10612499999999869,0,0,4,1
83,64.116125,0.18993407,82,64.166875,0.050750000000007844,0,0,4,1
84,64.65325,0.31679055,83,64.5985,-0.05474999999999852,0,0,4,1
85,65.179625,0.36230132,84,65.054875,-0.12475000000000591,0,0,4,1
86,65.704625,0.27453104,85,65.497875,-0.20674999999999955,0,0,4,1
87,66.231,0.29393893,86,65.969,0.26200000000000045,1,0,4,1
87,66.231,0.24961306,87,66.415625,0.18462500000001114,0,0,4,1
88,66.75725,0.2497841,88,66.86325,0.10599999999999454,0,0,4,1
89,67.286125,0.31146488,89,67.32175,0.03562499999999602,0,0,5,1
90,67.706125,0.23580569,90,67.771125,0.06499999999999773,0,0,5,1
91,68.128625,0.25919467,91,68.22,0.09137499999999932,0,0,5,1
92,68.55125,0.24194048,92,68.586625,0.03537500000000193,0,0,5,1
93,68.97625,0.13354859,93,68.95425,-0.02199999999999136,0,0,5,1
94,69.3975,0.24629027,94,69.3095,-0.08799999999999386,0,0,5,1
95,69.821375,0.23442455,95,69.71925,-0.10212500000000091,0,0,5,1
96,70.241375,0.26624376,96,70.125625,-0.11575000000000557,0,0,5,1
97,70.663875,0.21230155,97,70.53075,-0.13312500000000682,0,0,5,1
98,71.086375,0.23999837,98,70.962875,-0.12350000000000705,0,0,5,1
99,71.509,0.27550954,99,71.32675,-0.18224999999999625,0,0,5,1
100,71.9315,0.1906244,100,71.732125,-0.1993750000000034,0,0,5,1
101,72.354,0.19950274,101,72.15775,0.19625000000000625,1,0,5,1
101,72.354,0.2728607,102,72.529875,0.1758750000000049,0,0,5,1
102,72.776625,0.31907588,103,72.93425,0.15762500000001012,0,0,5,1
103,73.199125,0.31954738,104,73.34275,0.1436250000000001,0,0,5,1
104,73.621625,0.15385309,105,73.763125,0.14150000000000773,0,0,5,1
105,74.034625,0.19991693,106,74.155125,0.12049999999999272,0,0,5,1
106,74.46675,0.238612,107,74.4755,0.008749999999992042,0,0,5,1
107,74.88925,0.19500786,108,74.867375,-0.021875000000008527,0,0,5,1
108,75.31425,0.267838,109,75.260125,-0.05412499999999909,0,0,5,1
109,75.735625,0.2843716,110,75.689375,-0.04625000000000057,0,0,5,1
110,76.156875,0.29717,111,76.028625,-0.1282499999999942,0,0,5,1
111,76.579375,0.24126396,112,76.42325,-0.15612500000000296,0,0,5,1
112,76.992375,0.26661834,113,76.803375,-0.18899999999999295,0,0,5,1
112,76.992375,0.29034126,114,77.188,-0.19562500000000682,1,0,5,1
113,77.4245,0.23219626,115,77.563875,0.13937500000000114,0,0,5,1
114,77.847,0.29981148,116,77.952125,0.10512500000000102,0,0,5,1
115,78.2695,0.28675857,117,78.33075,0.06125000000000114,0,0,5,1
116,78.692125,0.20716627,118,78.704125,0.012000000000000455,0,0,5,1
117,79.117125,0.30707005,119,79.08225,-0.034874999999999545,0,0,5,1
118,79.538375,0.17603834,120,79.47925,-0.059125000000008754,0,0,5,1
119,79.96225,0.27508068,121,79.817875,-0.1443749999999966,0,0,5,1
120,80.38225,0.19792813,122,80.177625,0.20462499999999295,1,0,5,1
120,80.38225,0.34783036,123,80.548875,0.16662499999999625,0,0,5,1
121,80.80475,0.2353602,124,80.90675,0.10200000000000387,0,0,5,1
122,81.21775,0.1859137,125,81.276,0.05825000000000102,0,0,5,1
123,81.649875,0.20996274,126,81.672,0.022125000000002615,0,0,5,1
124,82.072375,0.35219765,127,82.103625,0.03125,0,0,5,1
125,82.485375,0.3437189,128,82.518625,0.03324999999999534,0,0,5,1
126,82.9175,0.2748315,129,82.930125,0.012624999999999886,0,0,5,1
127,83.34,0.3369474,130,83.32425,-0.015749999999997044,0,0,5,1
128,83.7625,0.31834942,131,83.736,-0.026499999999998636,0,0,5,1
129,84.1755,0.3355664,132,84.16175,-0.013750000000001705,0,0,5,1
130,84.610125,0.30534104,133,84.553625,-0.05649999999999977,0,0,5,1
131,85.031375,0.2263552,134,84.955625,-0.07574999999999932,0,0,5,1
132,85.443125,0.24516365,135,85.35275,-0.09037499999999454,0,0,5,1
133,85.87775,0.28221726,136,85.749875,-0.12787500000000307,0,0,5,1
134,86.30025,0.34043568,137,86.1435,-0.1567500000000024,0,0,5,1
135,86.71075,0.29465166,138,86.524125,-0.18662500000000648,0,0,5,1
135,86.71075,0.28310817,139,86.923375,-0.21262499999998852,1,0,5,1
136,87.144125,0.27021164,140,87.302875,0.15874999999999773,0,0,5,1
137,87.565375,0.26113406,141,87.651125,0.08574999999999022,0,0,5,1
138,87.987875,0.36874244,142,88.02175,0.03387499999999477,0,0,5,1
139,88.418,0.27318913,143,88.381625,-0.03637500000000671,0,0,5,1
140,88.83425,0.25064301,144,88.758125,-0.07612499999999045,0,0,5,1
141,89.2555,0.32552463,145,89.102375,-0.15312500000000284,0,0,5,1
141,89.2555,0.3195088,146,89.443875,-0.18837500000000773,1,0,5,1
142,89.678,0.34047598,147,89.782625,0.10462499999999864,0,0,5,1
143,90.100625,0.2743119,148,90.10275,0.002125000000006594,0,0,5,1
144,90.523125,0.39036965,149,90.472625,-0.050499999999999545,0,0,5,1
145,90.945625,0.22778612,150,90.8565,-0.08912500000000989,0,0,5,1
146,91.37575,0.30737126,151,91.286625,-0.08912499999999568,0,0,5,1
147,91.79325,0.3364068,152,91.707,-0.08625000000000682,0,0,5,1
148,92.21325,0.24457417,153,92.134125,-0.07912500000000477,0,0,5,1
149,92.62625,0.39319834,154,92.6025,-0.02374999999999261,0,0,5,1
150,93.0475,0.36167002,155,93.046875,-0.0006249999999994316,0,0,5,1
151,93.480875,0.1499131,156,93.501875,0.021000000000000796,0,0,5,1
152,93.893875,0.36288077,157,93.898625,0.004750000000001364,0,0,5,1
153,94.326,0.34299636,158,94.26975,-0.056249999999991473,0,0,5,1
154,94.7485,0.43622398,159,94.683125,-0.06537500000000307,0,0,5,1
155,95.171,0.29277906,160,95.095125,-0.07587500000001057,0,0,5,1
156,95.584,0.09123342,161,95.58275,-0.0012499999999988631,0,0,5,1
157,96.018625,0.34355178,162,95.948625,-0.06999999999999318,0,0,5,1
158,96.439875,0.38167432,163,96.366625,-0.07325000000000159,0,0,5,1
159,96.861125,0.36707458,164,96.781875,-0.07925000000000182,0,0,5,1
160,97.28375,0.3256412,165,97.17625,-0.1075000000000017,0,0,5,1
161,97.52825,0.26430145,166,97.574625,0.04637499999999761,0,0,5,1
162,97.95075,0.349133,167,97.96,0.00924999999999443,0,0,5,1
163,98.36375,0.38546458,168,98.387625,0.023875000000003865,0,0,5,1
164,98.800875,0.23144032,169,98.7515,-0.04937500000001194,0,0,5,1
165,99.218375,0.27810958,170,99.13325,-0.08512499999999079,0,0,5,1
166,99.631375,0.3757666,171,99.53925,-0.09212500000001,0,0,5,1
167,100.0635,0.32958278,172,99.9125,-0.15100000000001046,0,0,5,1
168,100.486,0.18746509,173,100.4055,-0.08050000000000068,0,0,5,1
169,100.9085,0.27998316,174,100.793875,-0.11462500000000375,0,0,5,1
170,101.331125,0.23199263,175,101.19825,-0.13287499999999852,0,0,5,1
171,101.756125,0.33240178,176,101.59125,-0.164874999999995,0,0,5,1
172,102.176125,0.2789173,177,102.013375,-0.16275000000000261,0,0,5,1
173,102.589125,0.33507976,178,102.43825,-0.1508749999999992,0,0,5,1
173,102.589125,0.3417169,179,102.85275,-0.26362500000000466,1,0,5,1
174,103.140625,0.29183617,180,103.279125,0.1384999999999934,0,0,5,1
175,103.57275,0.28579548,181,103.726375,0.15362500000000523,0,0,5,1
176,103.99525,0.16603597,182,104.1695,0.17425000000000068,0,0,5,1
177,104.40825,0.34609187,183,104.58125,0.17300000000000182,0,0,5,1
178,104.842875,0.35192817,184,104.990875,0.14799999999999613,0,0,5,1
179,105.262875,0.36093324,185,105.403875,0.14100000000000534,0,0,5,1
180,105.675875,0.07845643,186,105.816125,0.14024999999999466,0,0,5,1
181,106.108,0.10296104,187,106.196875,0.08887500000000159,0,0,5,1
182,106.5305,0.24814406,188,106.605125,0.0746249999999975,0,0,5,1
183,106.953,0.1931231,189,107.029,0.0759999999999934,0,0,5,1
184,107.366,0.27320367,190,107.409875,0.043874999999999886,0,0,5,1
185,107.78725,0.2845471,191,107.791125,0.0038749999999936335,0,0,6,1
186,108.14025,0.14936705,192,108.2005,0.06025000000001057,0,0,6,1
187,108.470375,0.31180772,193,108.527625,0.05724999999999625,0,0,6,1
188,108.822125,0.23329234,194,108.848375,0.026250000000004547,0,0,6,1
189,109.163,0.40848678,195,109.150875,-0.012124999999997499,0,0,6,1
190,109.503875,0.32727495,196,109.45875,-0.04512499999999875,0,0,6,1
191,109.846125,0.37023348,197,109.7705,-0.07562500000000227,0,0,6,1
192,110.187,0.269241,198,110.089,-0.09799999999999898,0,0,6,1
193,110.525375,0.15287375,199,110.370125,0.15524999999999523,1,0,6,1
193,110.525375,0.20993596,200,110.6635,0.13812500000000227,0,0,6,1
194,110.85675,0.3166012,201,110.951,0.09424999999998818,0,0,6,1
195,111.20725,0.21638441,202,111.228,0.020749999999992497,0,0,6,1
196,111.548125,0.29066226,203,111.51425,-0.03387499999999477,0,0,6,1
197,111.889,0.29743212,204,111.82975,-0.05924999999999159,0,0,6,1
198,112.23,0.30625543,205,112.105875,-0.12412500000000648,0,0,6,1
198,112.23,0.2855711,206,112.382,-0.15200000000000102,1,0,6,1
199,112.570875,0.2508521,207,112.638375,0.06749999999999545,0,0,6,1
200,112.91175,0.27890402,208,112.9145,0.0027500000000060254,0,0,6,1
201,113.252625,0.26315477,209,113.16675,-0.08587500000000148,0,0,6,1
202,113.593625,0.07974369,210,113.42325,0.17037500000000705,1,0,6,1
202,113.593625,0.29217622,211,113.65275,0.05912499999999454,0,0,6,1
203,113.937,0.2338058,212,113.852125,-0.0848749999999967,0,0,6,1
204,114.275375,0.29041517,213,114.1285,0.14687499999999432,1,0,6,1
204,114.275375,0.26647326,214,114.372875,0.09749999999999659,0,0,6,1
205,114.60675,0.13707863,215,114.665625,0.058875000000000455,0,0,6,1
206,114.95725,0.194435,216,114.844125,-0.11312499999999659,0,0,6,1
206,114.95725,0.30347317,217,115.087625,-0.1303750000000008,1,0,6,1
207,115.299375,0.24249786,218,115.350625,0.05124999999999602,0,0,6,1
208,115.639,0.27482608,219,115.591625,-0.04737500000000239,0,0,6,1
209,115.970375,0.123199955,220,115.844,-0.12637500000001012,0,0,6,1
209,115.970375,0.20296036,221,116.13025,-0.15987499999999955,1,0,6,1
210,116.322125,0.1842046,222,116.35275,0.03062500000000057,0,0,6,1
211,116.66175,0.27076188,223,116.576125,-0.08562499999999318,0,0,6,1
0,5.98275,0.1522327,0,6.0425,0.05975000000000019,0,0,1,2
