indice_metronomo,tiempo_metronomo,amplitud_tambor,indice_tambor,tiempo_tambor,diferencia,repetido,sin_asignacion,frecuencia,audio
144,125.047875,0.058701813,144,125.10675,0.058875000000000455,0,0,2,2
145,125.84525,0.1751433,145,125.898125,0.05287500000000023,0,0,2,2
146,126.573,0.25465706,146,126.579125,0.006125000000011482,0,0,2,2
147,127.358,0.28814724,147,127.37475,0.01675000000000182,0,0,2,2
148,128.1165,0.22108959,148,128.103,-0.013499999999993406,0,0,2,2
149,128.894,0.09943105,149,128.837,-0.05700000000001637,0,0,2,2
150,129.6645,0.39322242,150,129.614375,-0.05012500000000841,0,0,2,2
151,130.4325,0.3637003,151,130.359,-0.07349999999999568,0,0,2,2
152,131.20425,0.35435262,152,131.13625,-0.06800000000001205,0,0,2,2
153,131.97975,0.26711398,153,131.8895,-0.0902499999999975,0,0,2,2
154,132.740125,0.33489773,154,132.622875,-0.11725000000001273,0,0,2,2
155,133.509375,0.18560944,155,133.386,-0.12337500000001,0,0,2,2
156,134.278625,0.31016126,156,134.171125,-0.10750000000001592,0,0,2,2
157,135.050375,0.25207207,157,134.870875,-0.17949999999999022,0,0,2,2
158,135.819625,0.28330436,158,135.615,-0.20462499999999295,0,0,2,2
159,136.407375,0.30547577,159,136.4105,0.0031250000000113687,0,0,2,2
160,137.355625,0.3492772,160,137.1795,-0.1761250000000132,0,0,2,2
161,138.114,0.3072313,161,137.8975,-0.21649999999999636,0,0,2,2
162,138.901625,0.29479194,162,138.7805,-0.12112500000000637,0,0,2,2
163,139.65375,0.29897803,163,139.451,-0.20275000000000887,0,0,2,2
164,140.423,0.2807626,164,140.2195,-0.20349999999999113,0,0,2,2
165,141.20175,0.27484402,165,140.939,-0.26275000000001114,0,0,2,2
166,141.971,0.29799876,166,141.635875,-0.335125000000005,0,0,2,2
167,142.749,0.3053679,167,142.46575,-0.28324999999998113,0,0,2,2
168,143.34325,0.34851253,168,143.346375,0.003124999999982947,0,0,2,2
169,144.304125,0.24016108,169,144.033125,-0.2709999999999866,0,0,2,2
170,145.047875,0.23308009,170,144.818375,-0.2295000000000016,0,0,2,2
171,145.817125,0.30297443,171,145.525875,-0.2912499999999909,0,0,2,2
172,146.586375,0.2188938,172,146.259375,-0.3269999999999982,0,0,2,2
173,147.358125,0.2500923,173,147.0275,-0.3306249999999977,0,0,2,2
174,148.124875,0.26401204,174,147.886875,-0.23799999999999955,0,0,2,2
175,148.895375,0.22401719,175,148.62475,-0.27062499999999545,0,0,2,2
176,149.779625,0.2674378,176,149.375875,0.4037500000000023,1,0,2,2
176,149.779625,0.2908506,177,150.149125,0.36949999999998795,0,0,2,2
177,150.548875,,,,,0,1,2,2
178,151.319375,0.25868773,178,151.025625,-0.29375000000001705,0,0,2,2
179,152.087375,0.26713425,179,151.814875,-0.27250000000000796,0,0,2,2
180,152.856625,0.31691512,180,152.494,-0.3626250000000084,0,0,2,2
181,153.62575,0.22931138,181,153.225125,-0.4006250000000193,0,0,2,2
182,154.395,0.25554186,182,154.076625,-0.3183750000000032,0,0,2,2
183,155.16425,0.21556462,183,154.857125,-0.3071250000000134,0,0,2,2
184,155.9335,0.28353828,184,155.5665,-0.36700000000001864,0,0,2,2
185,156.70275,0.34994465,185,156.390375,-0.31237500000000296,0,0,2,2
186,157.4745,0.30491716,186,157.185375,-0.28912500000001273,0,0,2,2
187,158.24375,0.41578564,187,157.89975,-0.3439999999999941,0,0,2,2
188,159.010375,0.4198014,188,158.693875,-0.3165000000000191,0,0,2,2
189,159.779625,0.4468301,189,159.487875,-0.2917500000000075,0,0,2,2
190,160.548875,0.40219355,190,160.255,-0.2938750000000141,0,0,2,2
191,161.028375,0.3335826,191,161.0315,0.003124999999982947,0,0,2,2
192,162.087375,0.25281742,192,161.808,-0.2793750000000159,0,0,2,2
193,162.856625,0.5084356,193,162.58625,-0.27037500000000136,0,0,2,2
194,163.633375,0.288784,194,163.3795,-0.25387499999999363,0,0,2,2
195,164.395,0.41896522,195,164.10925,-0.2857500000000073,0,0,2,2
196,165.16425,0.35923582,196,164.92575,-0.23850000000001614,0,0,2,2
197,165.9335,0.42175606,197,165.646625,-0.2868750000000091,0,0,2,2
198,166.70525,0.34517667,198,166.45175,-0.2535000000000025,0,0,2,2
199,167.4745,0.17247817,199,167.24325,-0.23125000000001705,0,0,2,2
200,168.24375,0.28353423,200,168.104125,-0.13962499999999523,0,0,2,2
201,169.037125,0.38270578,201,168.786625,-0.2505000000000166,0,0,2,2
202,169.7885,0.25698543,202,169.551375,-0.23712499999999181,0,0,2,2
203,170.5565,0.32693592,203,170.347875,-0.20862500000001205,0,0,2,2
204,171.318125,0.27577865,204,171.053,-0.2651250000000118,0,0,2,2
205,172.09625,0.23001927,205,171.855,-0.24125000000000796,0,0,2,2
206,172.859125,0.35561782,206,172.5635,-0.29562500000000114,0,0,2,2
207,173.625875,0.3518771,207,173.3025,-0.32337499999999864,0,0,2,2
208,174.395125,0.22491838,208,174.135875,-0.25925000000000864,0,0,2,2
208,174.395125,0.29724747,209,174.883625,-0.4884999999999877,1,0,2,2
